Station,SID,Network,Distance_mi,Covered_years,Tmax_%,Tmin_%,Tmean_%,Precip_%,Keep
NEWALLA 7.1 SW,US1OKCV0082 6,GHCN,38.6,2011-2020,0,0,0,14,DROP
GARBER,343448 2,COOP,39.3,  none ,0,0,0,0,DROP
GARBER 0.5 WSW,US1OKGD0015 6,GHCN,39.3,2018-2020,0,0,0,8,DROP
STELLA 6.3 W,US1OKCV0117 6,GHCN,39.6,2015-2020,0,0,0,13,DROP
OKLAHOMA CITY 10.9 S,US1OKCV0091 6,GHCN,39.7,2012-2020,0,0,0,27,DROP
BRECKINRIDGE 3SE MESONET,341083 2,COOP,39.8,2000-2020,40,40,40,39,DROP
NEWALLA 5.5 SSW,US1OKCV0176 6,GHCN,40.3,  none ,0,0,0,0,DROP
OKLAHOMA CITY 11.5 S,US1OKCV0120 6,GHCN,40.3,2015-2020,0,0,0,5,DROP
STELLA,348479 2,COOP,40.5,1991-2014,0,0,0,71,DROP
HALL PARK 8.7 ENE,US1OKCV0058 6,GHCN,40.6,2008-2011,0,0,0,2,DROP
NORMAN 8.3 NE,US1OKCV0113 6,GHCN,41.0,2014-2016,0,0,0,1,DROP
SHAWNEE 2.8 NNW,US1OKPT0012 6,GHCN,41.1,2013-2020,0,0,0,16,DROP
BILLINGS 4.1 SSE,US1OKNB0001 6,GHCN,41.2,2005-2020,0,0,0,51,DROP
ENID VANCE AFB,USW00013909 6,GHCN,41.7,  none ,0,0,0,0,DROP
ENID 2.6 SE,US1OKGD0022 6,GHCN,41.7,  none ,0,0,0,0,DROP
NEWCASTLE 3.9 NNW,US1OKMC0013 6,GHCN,41.8,2017-2020,0,0,0,13,DROP
RED ROCK,347505 2,COOP,42.5,1991-2013,0,0,0,60,DROP
TUTTLE 1.7 ENE,US1OKGY0018 6,GHCN,42.9,  none ,0,0,0,0,DROP
TUTTLE 4.4 E,US1OKGY0006 6,GHCN,43.1,2013-2020,0,0,0,23,DROP
ENID 1.3 E,US1OKGD0010 6,GHCN,43.4,2010-2013,0,0,0,9,DROP
UNION CITY 3 SE,349086 2,COOP,43.9,1991-2017,0,0,0,88,DROP
SHAWNEE 0.8 ESE,US1OKPT0001 6,GHCN,44.4,2006-2010,0,0,0,14,DROP
